element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref
W,1,481.6105,0.0010,6,7.5e-03,B,19253.56,40011.50,,T6977,L153
Cr,1,481.61390,0.00015,9,1.8e-01,D,36577.6545,57335.373,,T4288,L14866
Br,2,481.670,0.010,500,1.1e+00,,,,,T8043,L7484
La,1,481.717,0.010,28h,1.75e-01,B,9183.797,29936.74&dagger;,,T9460,L3475
C,1,481.7371,0.0014,15000,8.8e-04,C,60352.6584,81105.06418,,T6070n,L17684
Fe,1,481.77778,0.00019,170,2.1e-04,D,17927.382,38678.039,,T2578n,L11631
V,1,481.90339,0.00018,51000,7.3e-02,C+,21275.652,42020.903,,T9399,L15916
Mo,1,481.9248,0.0010,410,2.71e-01,B+,21343.204,42087.533,,T5293,"L10250,L3475"
Cr,1,481.930,0.003,4,1.3e-01,D,33060.661,53804.711,,T3963,L808
Cl,2,481.947,0.010,16000,1.00e+00,C,107879.66,128622.99,,T8043,L1617
S,2,481.9575,0.0010,15w*,2.3e-01,E,129787.83,150531.31,,"T1619CA,LS",L5883
S,2,481.9575,0.0010,15w*,8.6e-01,E,130641.11,151383.81,,"T1619CA,LS",L5883
Y,1,481.96386,0.00010,140,1.58e-01,B,10937.390,31680.043,,T4373,"L7610,L3475"
Si,3,481.972,0.010,16,2.12e+00,B+,209559.33,230301.66,,"T6298c4,LS",L4833
Co,2,481.9886,0.0003,53,6.e-02,D,90199.163,110940.775,,T6999,L9429c118
Nd,2,482.034,0.010,140,4.36e-02,B+,1650.205,22389.840,,T7685,L3475
Ti,1,482.0410,0.0003,980,1.49e-01,C+,12118.393,32857.723,,T4922,L10989
Fe,2,482.08278,0.00004,330,5.4e-02,C+,83136.508,103874.040,,T6892c83,L18349c139
Y,1,482.16279,0.00010,22,1.03e-01,B+,15326.741,36060.842,,T4373,L7610
Ti,3,482.180,0.010,3,4.9e-01,D,161854.24,182587.62,,T1216,L3593
Y,1,482.2121,0.0010,120,5.06e-01,B+,15328.865,36060.842,,T4373,"L7610,L3475"
Ce,1,482.255,0.010,110,1.33e-01,B+,0.000,20730.135,,T8748,L3475
Co,2,482.28865,0.00017,170,8.e-02,D,90199.163,110927.845,,T6999,L9429c118
Co,2,482.32344,0.00008,300,1.13e-01,C+,90199.163,110926.337,,T6999,L9429c118
Y,2,482.3304,0.0010,190,4.4e-02,B,8003.126,28730.010,,T4373,"L10987,L3475"
V,1,482.343,0.002,65000,4.4e-03,C,13810.910,34537.299,,T9399,L14162
Mn,1,482.352,0.010,1000,4.99e-01,B,18705.37,39431.31,,T4649,L3475
Cr,1,482.39219,0.00019,5,1.2e-01,D,36552.1351,57276.363,,T3963,L14866
La,2,482.406,0.010,200,1.29e-01,B,5249.70,25973.37,,T7455,L3475
S,2,482.4066,0.0010,16,7.6e-01,D,131187.19,151910.83,,"T1619CA,LS",L5883
Ge,2,482.40973,0.00010,50,8.6e-02,D,79366.494,100089.970,,T4515,L3335
Cr,2,482.413069,0.000014,290,1.7e-02,D,31219.3322,51942.6640,,T3963n,L18847
Fe,3,482.486,0.003,25bl(Fe II),8.9e-02,D+,184951.76,205672.08,,u44,L1171
Kr,2,482.519,0.010,300,1.9e-01,D,121002.149,141720.955,,T3408,L8549
Ta,1,482.5429,0.0010,85,2.63e-02,B+,11243.63,31961.42,,T4976,"L7593,L3475"
Nd,2,482.5482,0.0010,350,1.08e-01,B+,1470.105,22187.650,,T7685,"L3260,L3475"
Cr,1,482.5517,0.0002,4,3.6e-03,D,24897.4635,45614.8444,,T2268,L14866
Ra,1,482.592806,0.000012,100,1.770e+00,AA,0.0000,20715.6142,,T3403,"L3527,L18892"
Fe,2,482.61366,0.00013,80,2.6e-02,D+,83308.241,104022.961,,T6892c83,L18349c139
Fe,2,482.66825,0.00003,500,7.5e-02,C+,82978.717,103691.094,,T6892c83,L18349c139
C,1,482.6804,0.0014,10000,6.3e-04,C,60393.1693,81105.06418,,T6070n,L17684
Ca,3,482.7263,0.0018,36,4.1e-02,B,326186.32,346896.26,,u33,L1405
V,1,482.74524,0.00015,920000,1.22e-02,B+,323.432,21032.503,,T4902,L15916
Hg,2,482.7732,0.0003,30w,4.8e-05,,84836.143,105544.042,,T7226,L11760
Be,2,482.8159,0.0040,710*,7.87e-02,A,98055.10,118761.32,,T5118LS,L12158
Be,2,482.8159,0.0040,710*,8.76e-02,A,98054.57,118760.51,,T5118LS,L12158
Tm,1,482.8966,0.0005,270,1.72e-02,B+,16456.913,37159.51,,T6708,"L2006,L3475"
Si,3,482.897,0.010,18,2.25e+00,B+,209599.70,230302.35,,"T6298c4,LS",L4833
Ni,1,482.903,0.010,22w,1.9e-01,D,28569.203,49271.540,,T4287,L3475
Fe,2,482.91081,0.00014,60,1.8e-02,D+,82978.717,103680.689,,T6892c83,L18349c139
K,2,482.923,0.003,9,2.52e+00,,162502.7,183204.1,,T8304,L3490
Xe,1,482.9708,0.0002,400,6.e-03,D+,68045.156,88744.559,,T8608,L7292
Mo,1,483.0512,0.0010,410,4.07e-01,A,21153.884,41849.838,,T5293,"L10250,L3475"
Co,2,483.1150,0.0004,130,2.8e-03,D,40695.028,61388.250,,T6999,L9429c118
Ni,1,483.118,0.010,19,1.6e-01,D,29084.456,49777.569,,T4287,L3475
Fe,2,483.12016,0.00005,700bl(Fe II)*,8.e-04,D,61041.734,81734.733,,T6892c83,L18349c148
Pt,1,483.12159,0.00023,100,4.7e-04,C,21967.101,42660.048,,T3313,L6581
Ti,3,483.133,0.010,3,2.0e-01,D,147212.77,167905.19,,T1216,L3593
V,1,483.16460,0.00015,1100000,1.96e-02,B+,137.383,20828.481,,T9627,L15916
Cr,1,483.1648,0.0004,15,1.2e-02,D,27597.2409,48288.3556,,T3963,L9190
Sr,1,483.2043,0.0005,2900,3.3e-01,A',14317.507,35006.908,,T5178,L4447
Kr,2,483.20773,0.00010,800,7.3e-01,D,115092.012,135781.264,,T3408,L605
Ta,1,483.2185,0.0010,55,1.70e-02,B+,9975.81,30664.66,,T4976,"L7593,L3475"
Cu,2,483.22454,0.00017,14000,2.5e-03,C,67916.5572,88605.096,,"T1922,T5092",L869c171
V,1,483.24241,0.00015,860000,2.27e-02,B+,0.000,20687.769,,T4902,L15916
Fe,1,483.27273,0.00007,740,1.76e-02,C+,29356.744,50043.213,,T5720,L11631
V,1,483.3016,0.0003,87000,3.2e-02,C+,13801.551,34486.787,,T9399,L15916
Co,2,483.34638,0.00021,57,2.4e-02,D,90302.776,110986.083,,T6999,L9429c118
Fe,1,483.45065,0.00019,158,2.7e-04,E,19552.478,40231.336,,T2578n,L11631
Tm,1,483.5754,0.0005,350,1.58e-02,B+,13119.610,33793.154,,T6708,"L2006,L3475"
S,2,483.5848,0.0010,14,7.2e-02,E,129858.18,150531.31,,"T1619CA,LS",L5883
Fe,1,483.58676,0.00007,550,1.1e-02,D,33095.941,53768.979,,T2578n,L11631
Cr,2,483.62295,0.00002,32,2.0e-03,D,31117.3254,51788.8149,,T3963n,L18847
Cr,1,483.68515,0.00007,29,1.60e-02,B,25038.4981,45707.3259,,u10,L14866
Hf,1,483.7238,0.0007,5000,8.29e-03,B,5638.6151,26305.8081,,T5346,"L21976,L16323"
Ti,3,483.825,0.010,1,1.2e-01,D,149267.99,169930.80,,T1216,L3593
Cr,1,483.8418,0.0020,15,1.1e-01,D,36558.446,57220.570,,T3963,L808
Fe,1,483.85115,0.00007,710,1.2e-02,D,27559.583,48221.324,,T2578n,L11631
Fe,2,483.85511,0.00020,70,7.0e-03,D+,83308.241,103969.814,,T6892c83,L18349c139
Y,1,483.91470,0.00010,60,3.05e-01,B+,15476.533,36135.567,,T9421,"L7610,L3475"
La,1,483.952,0.010,70,4.38e-01,B+,7011.909,27669.37,,T9460,L3475
Fe,1,483.95442,0.00007,3090,3.90e-03,C+,26351.040,47008.371,,T5720,L11631
Y,1,483.9866,0.0010,770,8.6e-01,B,11532.096,32188.075,,T4373,"L7610,L3475"
La,2,484.001,0.010,45,9.2e-03,C+,2591.60,23246.93,,T7455,L3475
Fe,1,484.03214,0.00007,457,1.7e-02,D,33507.123,54161.139,,T2578n,L11631
Ti,1,484.0873,0.0003,6600,1.76e-01,C+,7255.355,27907.013,,T4294,L10989
V,4,484.126,0.010,20,1.3e+00,D,237638.8,258288.8,,T2757,L147
Sm,1,484.170,0.010,970,8.7e-01,,4020.66,24668.79,,T7227,L3475
Rh,1,484.243,0.010,21,1.6e-03,D,9221.22,29866.34,,T5181,L3475
V,2,484.2492,0.0007,500,1.0e-02,D+,44159.461,64804.177,,T9770,L10089c179
Ne,3,484.250,0.010,120w,8.1e-02,D,449552.15+x,470197.0+x,,T8046,L10704
Fe,1,484.27881,0.00019,380,7.5e-03,E,33095.941,53739.438,,T2578n,L11631
V,1,484.3000,0.0010,5600,1.8e-01,D+,21275.652,41918.255,,u40,L4235
Li,2,484.30,0.10,,9.3199e-04,AAA,561244.30,581886.70,,T8636c73,L1560
Fe,1,484.31435,0.00007,1380,9.2e-03,E,27394.691,48036.673,,T2578n,L11631
Xe,1,484.32934,0.00005,300,7.02e-03,B,68045.156,88686.500,,"T8608n,T6672",L7292
Fe,2,484.32960,0.00003,1100,1.2e-03,D,61093.406,81734.733,,T6892c83,L18349c139
Ba,2,484.346,0.010,,9.34e-02,B,50011.340,70651.905,,"T3225,T7387",L6094
W,1,484.3810,0.0010,400,1.9e-02,B,3325.53,23964.67,,T4976,L153
Fe,1,484.40135,0.00007,760,3.62e-03,C,28604.613,49242.886,,T5720,L11631
Xe,2,484.433,0.010,2000,1.1e+00,,93068.44,113705.40,,T8043,L6925
Tm,1,484.4591,0.0005,110,1.44e-02,B+,15587.811,36223.628,,T6708,L2006
Co,2,484.4859,0.0006,38,5.e-02,D,90967.590,111602.201,,T6999,L9429c118
O,2,484.4913,0.0010,8,1.02e-02,D,212161.881,232796.298,,T6172,L10621
V,4,484.521,0.010,3,3.6e-01,D,236148.6,256781.8,,T2757,L147
Y,1,484.5668,0.0010,550,6.8e-01,B+,11277.928,31909.164,,T9421,"L7610,L3475"
V,1,484.6607,0.0004,18000,4.8e-03,C,13801.551,34428.773,,T9399,L15916
Tm,1,484.6887,0.0005,97,2.48e-02,B+,18853.823,39479.873,,T6708,L2006
Ba,2,484.714,0.010,,3.5e-02,C+,49389.822,70014.584,,"T3225,T7387",L6094
Co,2,484.7482,0.0005,57,8.e-04,D,90302.776,110926.337,,T6999,L9429c118
Ar,2,484.78095,0.00001,832,8.49e-01,B,135085.9958,155708.1075,,T926,L11520
Co,2,484.78273,0.00012,67p,2.1e-01,C+,91358.992,111981.033,,T6999,L9429c118
Cr,2,484.824960,0.000014,180,2.6e-02,D,31168.5755,51788.8149,,T4502,L18847
V,1,484.88084,0.00018,87000bl(V II),2.9e-02,C,13810.910,34428.773,,T9399,L15916
Fe,1,484.88832,0.00019,245,6.89e-04,C,18378.186,38995.736,,T5720,L11631
Ti,3,484.9658,0.0010,7,1.1e-01,D,149655.77,170270.02,,T1216,L3593
K,1,484.9865,0.0010,7,1.871e-03,A+,12985.185724,33598.5597,,T9168,L6096
La,1,485.082,0.010,70,6.2e-02,B,1053.164,21662.51,,T9460,L3475
Ba,2,485.084,0.010,,1.55e-02,B,50011.340,70620.247,,"T3225,T7387",L6094
Cu,2,485.12625,0.00011,12000,2.9e-01,D+,115662.5622,136269.9996,,T9697,L19804c168
V,1,485.14903,0.00015,2300000,1.00e-01,B+,0.000,20606.467,,T9627,L15916
Cs,3,485.1586,0.0005,85000h,1.95e-01,,162863.218,183469.263,,T8611,L14869
Tm,1,485.1755,0.0005,270D,4.00e-01,B+,19132.245,39737.58,,T6708,"L2006,L3475"
Ca,3,485.1929,0.0018,70,9.7e-01,B,340748.72,361353.31,,u33,L1405
Ta,1,485.2166,0.0010,30,1.65e-02,B+,10950.22,31553.89,,T4976,"L7593,L3475"
Y,1,485.2682,0.0010,410,6.3e-01,B,11078.614,31680.043,,T4373,"L7610,L3475"
Tc,1,485.3588,0.0010,20000,4.9e-01,,10516.53,31114.08,,T6934,L149
Y,2,485.4861,0.0010,890,3.9e-01,B,8003.126,28595.285,,T4373,"L10987,L3475"
La,1,485.495,0.010,23,2.7e-01,B+,9183.797,29775.58&dagger;,,T9460,L3475
Cu,2,485.498733,0.000018,34000,3.5e-01,D+,115568.99497,136160.61825,,T9697,"L19804c168,c175"
Sr,1,485.5045,0.0002,1200,2.63e-01,B+,18159.040,38750.420,,T5178,L7362
V,4,485.505,0.010,3,1.4e+00,D,236148.6,256739.9,,T2757,L147
Rb,2,485.5336,0.0010,300c,6.3e-01,,140610.047,161200.171,,T3743,L2590
Ni,1,485.541,0.010,45,5.7e-01,D,28569.203,49159.030,,T2765,L3475
Hg,2,485.5584,0.0004,16000h,2.2e-02,,111971.464,132560.550,,T7226,L11760
Co,2,485.56267,0.00008,160bl(Co I),3.9e-02,D,90967.590,111556.446,,T6999,L9429c118
Ac,1,485.5681,0.0006,1400c,4.03e-01,B,10906.027,31494.679,,T10463,L7344
Ti,2,485.59053,0.00014,18,2.39e-02,C+,24961.1910,45548.9273,,T7385,u37
Ti,1,485.6010,0.0003,2200,5.2e-01,D,18192.570,38779.856,,T4401n,L10989
K,1,485.6090,0.0010,8,2.10e-03,A,12985.185724,33572.1249,,T9168,L6096
Fe,2,485.6152,0.0003,50,9.e-03,D+,83459.721,104046.419,,T6892c83,L18349c139
Cr,2,485.61905,0.00003,24,2.6e-03,D,31082.8842,51669.4060,,T4502,L18847
Ti,3,485.622,0.010,2,4.7e-01,D,128433.40,149019.75,,T1216,L3593
O,2,485.6395,0.0010,11,5.58e-02,C,212161.881,232747.562,,T6172,L10621
V,1,485.65507,,:,1.10e-02,C+,21275.652,41860.647,,T9399,L18972
Y,1,485.6714,0.0010,50,2.01e-01,B+,15476.533,36060.842,,T4373,"L7610,L3475"
O,2,485.6758,0.0010,13,1.00e-01,C,212161.881,232745.981,,T6172,L10621
V,1,485.7057,0.0004,9900,3.6e-03,C+,17182.073,37764.923,,T9399,L15916
Co,2,485.70778,0.00023,140,6.e-02,D,90967.590,111550.344,,T6999,L9429c118
Ti,3,485.8129,0.0010,9,4.2e-01,D,128689.67,149267.99,,T1216,L3593
Mo,1,485.8389,0.0010,23,1.24e-01,B,34810.153,55387.359,,T5293,L10250
Hf,1,485.8420,0.0011,2200,6.00e-03,B,6572.5498,27149.6642,,T5346,"L21976,L16323"
W,1,485.8596,0.0010,12,1.3e-03,B,13777.71,34354.08,,T4976,L153
N,3,485.882,0.010,90,4.35e-01,B,309656.2,330232.1,,T7192LS,L3513
Fe,2,485.90296,0.00009,110,1.9e-02,D+,83308.241,103882.740,,T6892c83,L18349c139
Nd,2,485.9030,0.0010,280,8.6e-02,B+,2585.460,23159.970,,T7685,"L3260,L3475"
Fe,1,485.91215,0.00019,295,1.1e-02,E,33801.572,54375.677,,T2578n,L11631
Ca,3,485.9167,0.0018,90,1.09e+00,B,340580.15,361154.07,,u33,L1405
Fe,1,485.97411,0.00007,24500,1.62e-01,B+,23192.500,43763.980,,T5720,L11631
Y,1,485.98413,0.00010,330,7.3e-01,B,10937.390,31508.441,,T4373,"L7610,L3475"
D,1,485.99564,0.00003,,1.7193e-01,AA,82281.3010273,[102851.871846],,T8637,"L46,L1890,c27"
D,1,485.9964553,0.0000024,,9.6707e-02,AA,82281.336361094,102851.871920,,T8637,L10329
D,1,485.9975364,0.0000024,,9.6710e-02,AA,82281.336361094,102851.826163,,T8637,L10329
D,1,486.00013,0.00009,,8.4217e-02,AA,[82281.493],[102851.878],,T8637,"L46,L1890,c27,c64"
D,1,486.00385,0.00004,,2.0631e-01,AA,82281.667009,102851.8870958,,T8637,"L46,L1890,c27"
Ac,1,486.0160,0.0010,5500c,2.65e-01,B,2231.432,22801.11,,T10463,L7344
Fe,2,486.06798,0.00002,700,8.5e-02,C+,82853.704,103421.213,,T6892c83,L18349c139
La,2,486.091,0.010,320,3.69e-02,B+,1970.70,22537.30,,T7455,L3475
O,2,486.0968,0.0010,12,4.70e-01,C,232480.44,253046.74,,T5723LS,L10621
Fe,1,486.09781,0.00007,457,1.3e-03,E,27394.691,47960.940,,T2578n,L11631
H,1,486.1286949,0.0000024,,9.6680e-02,AAA,82258.9543992821,102823.8943175,,T7771,L9477
H,1,486.1297761,0.0000024,,9.6682e-02,AAA,82258.9543992821,102823.8485825,,T7771,L9477
H,1,486.135,0.005,180000,8.4193e-02,AAA,82259.158,102823.904,,T8637,L7439c30
C,2,486.2570,0.0010,29,2.34e-02,B,157234.05,177793.52,,T5109LS,L1176
Tm,1,486.2934,0.0005,70,1.07e-02,B+,17454.818,38012.795,,T6708,L2006
K,1,486.3483,0.0010,8,3.698e-03,AA,13042.896027,33598.5597,,T9168,L6096
Cs,3,486.4125,0.0016,45000c,5.55e-02,,160991.868,181544.785,,T8611,L14869
P,2,486.442,0.010,200,1.1e-01,D,103339.14,123890.81,,"T1619CA,LS",L3986
W,2,486.45636,0.00010,3,2.00e-03,B,23803.702,44354.784,,T7162,L11762
V,1,486.47297,0.00015,3500000,7.6e-02,B+,137.383,20687.769,,T9627,L15916
V,1,486.48345,0.00018,450000bl(V II),3.68e-02,B+,9544.635,30094.585,,T9399,L15916
O,2,486.4879,0.0010,11,8.07e-02,C,212161.881,232711.642,,T6172,L10621
Ti,2,486.56115,0.00019,13,7.65e-04,C+',8997.7874,29544.4540,,T7385,u37
Ar,2,486.59109,0.00002,83,1.5e-01,D,161048.7411,181594.1404,,T1240,L11520
Fe,2,486.61989,0.00005,270,6.0e-02,C+,83136.508,103680.689,,T6892c83,L18349c139
C,2,486.7070,0.0020,17,2.33e-02,B,157234.05,177774.55,,T5109LS,L1176
N,3,486.715,0.010,150,6.18e-01,B,309849.8,330389.9,,T7192LS,L3513
Mo,1,486.8017,0.0010,360,3.11e-01,A,20947.940,41484.450,,T5293,"L10250,L3475"
Ti,1,486.8142,0.0005,,1.56e-01,C+,26910.709,47446.684,,T6897,L18003
Sr,1,486.8700,0.0002,1200,3.4e-01,A',18218.784,38752.410,,T5178,L7362
Mg,2,486.8845,0.0010,2*,1.50e-03,C+,93799.63,114332.74,,c31,L7414
Mg,2,486.8845,0.0010,2*,1.41e-03,C+,93799.75,114332.68,,c31,L7414
Ac,1,486.8870,0.0020,890,3.32e-01,B,9863.589,30396.575,,T10463,L7344
Sr,1,486.9170,0.0005,1100,7.5e-02,B+,18218.784,38750.420,,T5178,L4447
Fe,1,486.94636,0.00019,245,1.3e-03,E,28604.613,49135.023,,T2578n,L11631
K,1,486.9757,0.0010,9,2.61e-03,A,13042.896027,33572.0592,,T9168,L6096
Fe,2,486.99690,0.00016,60,1.4e-02,D+,83459.721,103988.001,,T6892c83,L18349c139
Fe,1,487.0036,0.0004,98,3.88e-03,C+,31686.351,52214.345,,T6110,L11631
V,1,487.0142,0.0004,12000,4.7e-03,C+,17116.947,37644.487,,T9399,L15916
Tm,1,487.0367,0.0005,490,1.25e-01,B+,19132.245,39658.852,,T6708,L2006
Cr,1,487.07975,0.00007,47,3.5e-01,D,24833.7957,45358.5837,,T1426n,L14866
V,1,487.1255,0.0002,86000,5.0e-02,B+,17242.070,37764.923,,T9399,L15916
Fe,1,487.13179,0.00007,63000,2.44e-01,B+,23110.939,43633.533,,T5720,L11631
O,2,487.1520,0.0010,15,5.60e-01,C,232527.09,253048.82,,T5723LS,L10621
Fe,1,487.19278,0.00007,540,2.84e-03,C+,26224.969,46744.993,,T5720,L11631
O,2,487.2005,0.0010,6,9.34e-02,D,232527.09,253046.74,,T5723LS,L10621
Fe,1,487.21375,0.00007,38000,2.54e-01,B+,23244.838,43763.980,,T5720,L11631
Sr,1,487.2493,0.0002,1500,4.8e-01,A',14504.334,35021.989,,T5178,L7362
Cu,2,487.33056,0.00017,9900,2.4e-01,D+,117747.3504,138261.5822,,T9697,L19804c168
Fe,1,487.37510,0.00019,112,5.5e-04,E,26623.735,47136.084,,T2578n,L11631
Ti,3,487.3995,0.0010,10,1.5e+00,D,147212.77,167724.09,,T1216,"L3593,L11926"
Ti,2,487.40096,0.00005,62,2.20e-01,B,24961.1910,45472.4518,,T7385,u37
Cr,1,487.46522,0.00017,6,6.9e-03,D,25106.2953,45614.8444,,T2268,L14866
Ti,1,487.4872,0.0003,11,1.03e-01,C+,26772.968,47280.588,,T6897,L10989
Co,2,487.4949,0.0006,44,4.5e-03,D,91358.992,111866.302,,T6999,L9429c118
Co,2,487.5254,0.0004,43,4.0e-02,D,90464.589,110970.554,,T6999,L9429c118
V,1,487.54855,0.00015,4400000,7.4e-02,B+,323.432,20828.481,,T9627,L15916
V,2,487.5492,0.0007,720,1.2e-02,D+,44098.469,64603.496,,T9770,L10089c179
Fe,1,487.58773,0.00007,1120,3.4e-03,E,26874.550,47377.955,,T2578n,L11631
Sr,1,487.6075,0.0005,1200,2.63e-01,B+,14504.334,35006.908,,T5178,L4447
Fe,1,487.6188,0.0004,71,2.7e-04,E,26224.969,46727.074,,T2578n,L11631
Cr,2,487.64891,0.00003,30,1.6e-02,D,31168.5755,51669.4060,,T4502,L18847
Xe,2,487.650,0.010,500h,6.3e-01,,109563.14,130063.96,,T8043,L6925
Sn,2,487.7209,0.0003,100,5.6e-02,B+,71406.142,91903.945,,T8718,L3149
Fe,1,487.76060,0.00019,151,2.6e-04,E,24180.862,44677.006,,T2578n,L11631
Ca,1,487.813,0.010,25,1.88e-01,C,21849.634,42343.587,,T1338,L6097
Fe,1,487.82108,0.00007,18200,1.21e-01,B+,23270.384,43763.980,,T5720,L11631
La,1,487.886,0.010,65,2.38e-01,B+,8052.162,28543.08,,T9460,L3475
Pr,2,487.9121,0.0010,30,1.6e-02,D+,5079.35,25569.19,,T8137n,L3396
Tm,1,487.9194,0.0005,270*,3.8e-04,C+,8771.243,29260.59,,T6708,"L2006,L3475"
Tm,1,487.9194,0.0005,270*,5.8e-02,B+,18990.406,39479.873,,T6708,"L2006,L3475"
Ar,2,487.98634,0.00001,2239,8.23e-01,A,138243.6444,158730.2995,,T926,L11520
Cr,1,488.004,0.003,22,8.1e-03,D,25177.3539,45663.2579,,T4288,L808
Dy,1,488.016,0.010,85,5.2e-03,B+,0.000,20485.40,,T7148,L3475
V,1,488.05474,,:,2.38e-02,B,9637.039,30120.823,,T9399,L18972
W,1,488.0713,0.0010,8,8.4e-04,C,15460.01,35943.17,,T4976,L153
Li,2,488.132,0.010,4,2.3783e-01,AAA,559500.35,579981.33,,T8636c73,L3501
Li,2,488.139,0.010,4,3.9642e-01,AAA,559501.42,579981.33,,T8636c73,L3501
Y,2,488.1433,0.0010,20,1.50e-03,B,3296.180,23776.245,,T4373,"L10987,L3475"
Li,2,488.149,0.010,1,7.9292e-02,AAA,559502.32,579981.33,,T8636c73,L3501
V,1,488.15565,0.00015,5300000,7.8e-02,B+,552.955,21032.503,,T9627,L15916
Fe,1,488.17175,0.00007,2820,5.15e-03,C+,26627.609,47106.484,,T5720,L11631
Cd,2,488.1725,0.0010,50,1.13e-01,C,89689.25,110168.11,,T3096,L3540
V,1,488.2167,0.0002,110000,1.38e-02,B,9544.635,30021.627,,T9399,L15916
Ce,2,488.246,0.010,180,3.58e-01,B+,12326.417,32802.165,,T8629,L3475
Fe,2,488.31840,0.00016,70,1.7e-02,D+,82853.704,103326.445,,T6892c83,L18349c139
Fe,2,488.32923,0.00004,310,5.8e-02,C+,82853.704,103325.974,,T6892c83,L18349c139
V,2,488.3399,0.0018,1900D,6.2e-02,C,30613.910,51085.7739,,T9770,L10089c179
S,2,488.3672,0.0010,10,9.1e-02,E,129787.83,150258.51,,"T1619CA,LS",L5883
Tm,1,488.3675,0.0005,490,1.66e-01,B+,19132.245,39602.902,,T6708,L2006
Y,2,488.3682,0.0010,1900,4.7e-01,B,8743.322,29213.958,,T4373,"L10987,L3475"
Nd,1,488.381,0.010,350,8.8e-01,,5048.602,25518.700,,T6288,L3475
Co,2,488.3833,0.0003,100,5.0e-02,D,90464.589,110934.611,,T6999,L9429c118
Ta,1,488.3950,0.0010,75,1.11e-02,B+,9253.43,29722.95,,T4976,"L7593,L3475"
Tm,1,488.4263,0.0005,24,1.00e-02,C,18853.823,39322.014,,T6708,L2006
Ti,3,488.4321,0.0010,4,2.0e-01,D,147562.14,168030.15,,T1216,L3593
Cr,2,488.46035,0.00006,20,5.8e-03,D,31117.3254,51584.1004,,T4502,L18847
Ne,1,488.49170,0.00004,10000,4.15e-03,C+,149824.2215,170289.6782,,T6976,L3451
Ti,1,488.5081,0.0003,3700,4.90e-01,C+,15220.393,35685.174,,T4922,L10989
Ne,1,488.50971,0.00020,1000,1.02e-03,C,149824.2215,170288.9415,,T6976,L4498
Co,2,488.5446,0.0003,100,1.3e-02,D,90464.589,110927.845,,T6999,L9429c118
Rb,2,488.5588,0.0010,1500c,6.e-02,,143461.977,163924.55,,T3743,L2590
V,1,488.5644,0.0002,93000,3.8e-02,B,17182.073,37644.487,,T9399,L15916
S,2,488.5648,0.0010,17,1.48e-01,C,112937.57,133399.97,,T3186c85,L5883
Cr,1,488.57694,0.00007,64,4.92e-02,B,20520.9029,40982.7898,,u10,L14866
Cr,1,488.5952,0.0002,5,2.44e-02,B,24897.4635,45358.5837,,u10,L14866
Pr,2,488.6045,0.0010,20,1.1e-02,C,5108.40,25569.19,,T5674n,L3396
V,4,488.636,0.010,20,9.3e-01,D,236322.4,256781.8,,T2757,L147
Y,1,488.6640,0.0010,40,2.43e-01,B+,15994.045,36452.295,,T9421,"L7610,L3475"
V,1,488.6807,0.0002,160000,1.23e-02,B+,9637.039,30094.585,,T9399,L15916
W,1,488.6899,0.0010,200,8.1e-03,B,6219.33,26676.48,,T4976,L153
Cr,1,488.70123,0.00007,75,3.2e-01,D,24897.4635,45354.1500,,T1426n,L14866
Tm,1,488.7346,0.0005,26,2.1e-02,C+,21120.836,41576.146,,T6708,L2006
La,1,488.761,0.010,26,1.28e-01,B,8052.162,28506.41,,T9460,L3475
Dy,1,488.808,0.010,95,4.97e-02,B+,8519.210,28971.42,,T7148,L3475
Ti,1,488.8713,0.0003,6,1.34e-01,C+,26494.330,46943.911,,T6897,L10989
Fe,1,488.90012,0.00007,1170,1.13e-03,C+,17726.988,38175.355,,T5720,L11631
Ar,2,488.90419,0.00001,288,1.9e-01,C,139258.3389,159706.5337,,T926,L11520
Nd,2,488.910,0.010,140,3.60e-02,B+,1470.105,21918.050,,T7685,L3475
Ac,2,488.9105,0.0009,1800,2.72e-01,C+,14949.173,35397.115,,T10463,L7344
Cu,2,488.97005,0.00017,12000,1.9e-03,C,67916.5572,88362.001,,"T1922,T5092",L869c171
Ca,3,488.9826,0.0018,70,1.15e+00,B,343784.96,364229.89,,u33,L1405
Hf,1,488.9932,0.0007,610,8.6e-04,C,10532.5690,30977.0338,,T5346,L16323
W,1,489.0273,0.0010,25,1.01e-02,B,16431.31,36874.36,,T6977,L153
Nd,2,489.070,0.010,220,7.1e-02,B+,3801.930,24243.215,,T7685,L3475
Fe,1,489.07548,0.00007,58000,2.25e-01,B+,23192.500,43633.533,,T5720,L11631
O,2,489.0858,0.0010,15,5.10e-01,C+,212161.881,232602.492,,"T6172,T6632",L10621
W,1,489.0872,0.0010,10,1.37e-02,B,20427.84,40868.40,,T6977,L153
V,1,489.1221,0.0002,64000,3.00e-02,B+,17116.947,37556.034,,T9399,L15916
Ag,2,489.1335,0.0010,18,1.00e-03,B,90334.8716,110773.5186,,T3754,L3313c114
Fe,1,489.14921,0.00007,117000,3.08e-01,B+,22996.674,43434.627,,T5720,L11631
Sr,1,489.1980,0.0003,1500,3.8e-01,B,18319.261,38755.175,,T5178,L7362
