element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref
O,4,250.773,0.010,200,2.32e+00,B,438983.9,478848.6,,T5109LS,L648
Mn,2,250.7813,0.0006,50,7.e-01,D,52653.327,92516.68,,c88,L562
V,1,250.78628,0.00009,280000,1.3e-01,C,137.383,39999.966,,T9399,L15916
Fe,1,250.79001,0.00002,4900,1.93e-01,B+,7728.060,47590.048,,T5720,L11631
Tl,1,250.794,0.010,1r,1.1e-02,C,,,,T4515,L3428
Co,2,250.79628,0.00003,8300,1.1e-01,D,11651.277,51512.268,,T6999,L9429c118
S,3,250.8097,0.0010,12,2.56e+00,D,170068.73,209927.43,,"T6066c4,LS",L11011
Cr,1,250.81100,0.00002,25,2.1e-01,D,7927.4410,47786.0959,,T3196,L14866
Fe,2,250.834100,0.000012,50000,3.8e-01,D+,50187.822,90042.804,,T6892c83,L18349c139
Pt,1,250.84973,0.00006,2500,1.50e-01,B+,6567.4517,46419.952,,T3313,L11529
W,1,250.8734,0.0010,45,2.4e-01,C,6219.33,46068.02,,T6977,L153
Fe,1,250.87531,0.00002,630,1.71e-02,C+,7985.785,47834.221,,T5720,L11631
Li,2,250.878,0.010,*,1.6484e-01,AAA,561273.62,601121.55,,T8636c73,L3501
Li,2,250.878,0.010,*,2.893e-02,AA,561273.62,601120.4,,T8636c73,L3501
Fe,2,250.88140,0.00014,700,1.4e-02,D,65363.607,105211.079,,T6892c83,L18349c139
Ar,3,250.891,0.004,3,2.6e-01,E,186658.19,226504.1601,,"T1619CA,LS",L7491
Cr,1,250.89803,0.00002,23,3.8e-01,C,7927.4410,47772.2702,,T3196,L14866
C,2,250.9121,0.0007,670,4.71e-01,A,110624.18,150466.70,,T7194,L1176
Fe,2,250.912104,0.000016,21000bl(Fe II)*,3.9e-03,D,65556.271,105398.876,,T6892c83,L18349c148
Fe,2,250.912104,0.000016,21000bl(Fe II)*,1.9e-01,D+,26170.1810,66012.775,,T6892c83,L18349c148
Fe,2,250.91470,0.00004,8000,4.4e-01,D+,45206.4704,85048.655,,T6892c83,L18349c139
O,4,250.919,0.010,230,1.94e+00,B,439230.9,479072.0,,T5109LS,L648
Fe,2,250.9370,0.0005,270d?,3.1e-02,D,43620.9842,83459.721,,T6892c83,L18349c142
Fe,2,250.94838,0.00016,2000,4.0e-01,D+,54902.286,94739.136,,T6892c83,L18349c139
V,4,250.9606,0.0010,5,1.4e+00,,216905.0,256739.9,,T2757,L147
Fe,2,250.9646,0.0010,400,1.2e-01,D+,64087.408,103921.637,,T6892c83,L18349c139
Nb,4,250.9673,0.0005,65000,3.0e-01,C,181535.98,221369.70,,T2192,L12094
Fe,2,250.9702,0.0005,160d,1.4e-01,D+,64040.891,103874.261,,T6892c83,L18349c142
Fe,2,250.98633,0.00002,16000,9.e-01,D+,39013.2160,78844.031,,T6892c83,L18349c139
Fe,2,250.9919,0.0005,340bl(Fe II)*,1.1e-01,D+,54870.541,94700.415,,T6892c83,L18349c142
Co,2,251.00723,0.00003,5400,1.3e-01,D,28111.872,67939.370,,T6999,L9429c118
Fe,2,251.01215,0.00004,7000,2.6e-01,D+,45044.1916,84870.911,,T6892c83,L18349c139
Na,3,251.0264,0.0005,17,2.19e+00,A,367040.66,406865.11,,"c51,T7317",L1882
Fe,2,251.02968,0.00009,1000bl(Fe I),6.1e-02,D+,64806.494,104630.429,,T6892c83,L18349c148
Fe,2,251.03848,0.00005,2000,4.6e-01,C+,63948.803,103771.342,,T6892c83,L18349c139
Co,2,251.05485,0.00003,5600,2.7e+00,C+,73147.041,112966.982,,T6999,L9429c118
Fe,2,251.05646,0.00005,5000,1.54e-01,C,44446.9051,84266.594,,T7186,L18349c139
Fe,1,251.08348,0.00002,6000,1.29e+00,B,415.933,40231.336,,T5720,L11631
Co,2,251.08481,0.00003,1200,1.0e+00,D,52229.725,92044.913,,T6999,L9429c118
Ni,2,251.087,0.010,500,5.8e-01,B,13550.39,53365.17,,T1024n,L897
