element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(10^8 s^-1),Acc,Ei(eV),Ek(eV),g_i,g_k,Type,tp_ref,line_ref
Cl,2,476.865,0.010,4300,7.7e-01,D,17.085785,19.685043,3,5,,"T1619CA,LS",L1617
Ce,2,476.877,0.010,100,4.7e-02,B,0.8693529,3.4685347,10,10,,T8629,L3475
Ta,1,476.8983,0.0010,120,2.75e-02,B+,1.516917,4.115996,8,8,,T4976,"L7593,L3475"
Hf,1,476.9372,0.0010,730,1.73e-03,C+,0.81489232,3.41375455,3,3,,T5346,L16323
C,1,477.002392,0.000023,24000,1.1e-02,C,7.48277598,10.08128590,3,1,,T6070n,L12175c183
La,1,477.043,0.010,35,2.54e-01,B,0.8693659,3.467657,6,4,,T9460,L3475
Cr,1,477.06725,0.00008,16,9.8e-03,D,3.01279642,5.61095253,5,7,,T4288,L14866
Ti,1,477.1096,0.0003,61,1.4e-03,C,0.82585949,3.4237838,7,9,,"T3297,T3928",L10989
Tm,1,477.1340,0.0005,4,5.1e-04,C+,1.8933629,4.4911575,16,14,,T6708,L2006
Ti,3,477.146,0.010,6,3.4e-01,D,18.471007,21.068734,3,5,,T1216,L3593
Fe,1,477.16962,0.00018,229,3.42e-04,D+,2.19786640,4.79546566,5,5,,T6110,L11631
C,1,477.173346,0.000016,69000,8.0e-03,C,7.48779869,10.085377438,5,5,,T6070n,L12175c183
Fe,1,477.28027,0.00007,620,5.30e-04,D+,1.55735733,4.15435379,7,7,,T5720,L11631
Fe,1,477.28300,0.00007,950,3.76e-03,C+,3.01725044,5.61423177,5,5,,T5720,L11631
V,1,477.3068,0.0004,19000,2.3e-02,C+,2.63784466,5.23469828,10,12,,T9399,L15916
Hf,1,477.3720,0.0011,5400,1.80e-02,B,0.68461317,3.28111348,1,3,,T5346,"L21976,L16323"
W,1,477.3845,0.0010,,1.12e-02,B,1.708218,4.304648,5,3,,T6977,L14798
Ce,2,477.394,0.010,230,2.00e-01,B+,0.9242961,3.5206739,4,6,,T8629,L3475
O,2,477.4059,0.0010,3,1.36e-03,D,26.2254001,28.8217045,4,6,,T6172,L10621
Cr,1,477.51297,0.00010,15,2.9e-02,D,3.55053095,6.14626205,7,9,,T4288,L14866
C,1,477.5907,0.0014,34000,4.8e-03,C,7.48779869,10.083115460,5,3,,T6070n,L17684
Rb,2,477.5949,0.0005,30000,3.7e-01,,16.5322523,19.1275357,5,3,,T3743,L2590
Fe,1,477.60670,0.00018,229,2.2e-03,E,3.30092244,5.89614419,5,3,,T2578n,L11631
Mo,1,477.6341,0.0010,150,6.25e-02,A,2.2601268,4.8551999,7,7,,T5293,"L10250,L3475"
V,1,477.63579,0.00015,310000,3.87e-01,B+,2.0547452,4.64980915,8,6,,T9399,L15916
V,1,477.6510,0.0002,210000,2.96e-01,B+,2.3791679,4.9741491&dagger;,4,6,,T9399,L15916
Ti,1,477.8255,0.0003,240,2.0e-01,D,2.2363294,4.8303632,9,9,,T4401n,L10989
S,2,477.9094,0.0010,16,2.38e-02,D+,13.671564,16.265139,6,6,,T3186c85,L5883
Sc,1,477.9354,0.0011,6g,8.9e-03,B+,0.0208711,2.6143096,6,8,,T5448,L4189c12
Fe,1,477.94391,0.00007,510,2.79e-02,C,3.41489715,6.00828827,3,1,,T5720,L11631
Ti,2,477.99789,0.00005,109,6.2e-02,D,2.04771507,4.64081303,2,2,,T2403,u37
Fe,2,478.0008,0.0005,19,6.e-04,D,7.9286411,10.5217184,10,12,,T6892c83,L18349c139
Y,1,478.0163,0.0010,17,7.6e-02,B+,1.88724197,4.48023931,2,4,,T9421,"L7610,L3475"
Sc,3,478.0868,0.0010,15,1.55e+00,C,15.905084,18.497702,4,2,,T2886LS,L1891
Ta,1,478.0935,0.0010,85,2.16e-02,B+,1.325431,3.918018,10,8,,T4976,"L7593,L3475"
Y,1,478.10330,0.00010,120,1.01e-01,B,1.39828486,3.9908127,8,10,,T4373,"L7610,L3475"
Cl,2,478.132,0.010,13000,1.0e+00,D,17.094863,19.687234,5,7,,"T1619CA,LS",L1617
V,1,478.134,0.002,540,1.6e-02,D+,2.3589638,4.9513308,6,4,,T9399,L14162
Ti,1,478.1711,0.0003,170,2.9e-03,C,0.8484192,3.4405782,11,11,,"T3297,T3928",L10989
W,2,478.23543,0.00010,2,2.03e-03,B,2.90748128,5.49929234,6,6,,T7162,L11762
Rb,2,478.2830,0.0005,5000c,3.3e-01,,17.7325096,20.3240539,1,3,,T3743,L2590
Si,1,478.2991,0.0010,50,1.7e-02,D,4.9537952,7.5452605,5,3,,"T6066c4,LS",L3521
Ti,1,478.3306,0.0003,17,6.2e-04,C,0.8181426,3.4094392,5,7,,"T3297,T3928",L10989
Mn,1,478.342,0.010,940,4.01e-01,B,2.297631,4.888859,8,8,,T4649,L3475
Ti,3,478.409,0.010,2,2.6e-01,D,18.471007,21.061880,3,3,,T1216,L3593
B,2,478.4206,0.0010,190*,2.31e-01,C,18.678180,21.268988,3,1,,"u27,LS",L12120
B,2,478.4206,0.0010,190*,2.3e-03,D,18.678180,21.268988,3,5,,"u27,LS",L12120
B,2,478.4206,0.0010,190*,1.73e-01,C,18.678180,21.268988,5,3,,"u27,LS",L12120
B,2,478.4206,0.0010,190*,2.0e-01,C,18.678180,21.268988,7,5,,"u27,LS",L12120
Sr,1,478.4320,0.0002,1700,3.0e-01,B+,1.7983082,4.3890536,3,3,,T5178,L7362
V,1,478.4469,0.0003,280000,7.9e-04,B+,0.01703332,2.60769803,6,8,,T9399,L15916
Br,2,478.550,0.010,500,9.4e-01,,,,5,5,,T8043,L7484
Co,2,478.5885,0.0003,30,1.5e-02,D,11.24505237,13.83494999,11,13,,T6999,L9429c118
Fe,1,478.59562,0.00018,263,4.0e-03,E,4.14264893,6.73250811,7,9,,T2578n,L11631
K,1,478.6491,0.0010,5,1.03e-03,C,1.60995784350,4.19952815,2,2,,"T817,T204,LS",L6096
V,1,478.64995,0.00015,460000,3.4e-01,C+,2.0741072,4.66367269,10,8,,T9399,L15916
Ni,1,478.654,0.010,45,1.8e-01,D,3.4195327,6.0090789,11,11,,T2765,L3475
Y,2,478.6576,0.0010,160,2.1e-02,C+,1.0325452,3.6220692,7,7,,T4373,"L10987,L3475"
Fe,1,478.68067,0.00007,4170,1.03e-02,B+,3.01725044,5.60664989,5,7,,T5720,L11631
Y,1,478.68753,0.00010,170,4.4e-01,B+,1.91884554,4.5082074,6,8,,T9421,"L7610,L3475"
Ac,1,478.6960,0.0013,320c,5.84e-01,B,1.720602,4.309916,6,4,,T10463,L7344
Fe,1,478.78266,0.00007,372,1.05e-03,D+,2.99804479,5.58689276,7,7,,T5720,L11631
N,2,478.813,0.010,285,2.50e-01,B,20.653592,23.242271,5,5,,T7333,L3513
Li,2,478.836,0.010,,1.1368e+00,AAA,69.648473,72.237031,3,5,,T8636c73,L3501
Ag,2,478.83966,0.00007,260,9.5e-03,C+,11.14562618,13.73416591,3,5,,T3754,L11881c113
W,1,478.8421,0.0010,10,2.6e-03,C,2.037223,4.625746,9,11,,T4976,L153
Fe,1,478.87566,0.00007,3470,3.86e-03,C+,3.23672008,5.82506529,13,13,,T5720,L11631
Cr,1,478.9340,0.0004,75,1.14e-01,B,2.54410014,5.1321332,13,11,,u10,L9190
Fe,1,478.96505,0.00007,11500,4.57e-02,B,3.54652001,6.13438193,5,7,,T5720,L11631
Ti,1,478.9788,0.0003,25,4.5e-04,C,0.83599520,3.4237838,9,9,,T3297,L10989
Fe,1,479.0743,0.0005,79,2.7e-04,E,3.25148176,5.83875215,7,7,,T2578n,L11631
K,1,479.1049,0.0010,7,1.3e-03,C,1.60995784350,4.19706867,2,4,,"T817n,T204n,LS",L6096
Fe,1,479.12458,0.00007,324,3.56e-03,C+,3.27398440,5.86098438,3,3,,T6110,L11631
Dy,1,479.129,0.010,95,1.16e-02,B+,0.5125782,3.099553,15,17,,T7148,L3475
Sc,1,479.1520,0.0011,5g,1.97e-03,B+,0.0208711,2.6077264,6,6,,T5448,L4189c12
S,2,479.2012,0.0010,17,3.7e-01,D,16.134580,18.721169,6,6,,"T1619CA,LS",L5883
Sn,2,479.20732,0.00019,62h,4.0e-03,C+,8.8532333,11.4397872,4,4,,T8718,L3149
Si,1,479.2212,0.0010,35,2.2e-02,D,4.9296471,7.516125,3,1,,"T6066c4,LS",L3521
Si,1,479.2324,0.0010,80,1.7e-02,D,4.9537952,7.5402137,5,5,,"T6066c4,LS",L3521
Cr,1,479.2512,0.0004,75,2.6e-01,D,3.11278390,5.6991023,7,5,,T1621n,L9190
Au,1,479.258,0.010,500,8.9e-01,B+,5.1050014,7.69120,4,6,,"T4253,T7183,T7776",L1336
Xe,1,479.2619,0.0002,150,1.2e-03,D+,8.3153161,10.9015749,5,3,,T8608,L7292c110
Cs,3,479.2908,0.0005,4800h,1.28e-02,,20.1924655,22.7785658,6,8,,T8611,L14869
Ti,3,479.3503,0.0010,3,2.9e-01,D,18.476094,21.061880,1,3,,T1216,L3593
Fe,1,479.39616,0.00018,141,1.1e-04,E,3.04686890,5.63240401,9,9,,T2578n,L11631
Cl,2,479.455,0.010,99000,1.04e+00,C,13.375373,15.960588,5,7,,T8043,L1617
Ti,2,479.4819,0.0003,,2.6e-05,D,1.13052324,3.71559942,10,10,,T4502,L9190
V,1,479.5098,0.0002,58000,1.6e-01,C,2.61626360,5.2011859,8,6,,T9282,L15916
Tm,1,479.5343,0.0005,24,1.3e-02,D+,2.4485073,5.0333000,10,8,,T6708,L2006
Cs,3,479.5687,0.0005,3800,3.68e-02,,18.6555636,21.2401700,2,2,,T8611,L14869
Cr,1,479.6145,0.0040,40w,1.3e-01,D,4.19265380,6.7770062,9,11,,T3963,L808
Mo,1,479.6517,0.0010,100,6.5e-02,B+,2.6462200,5.2303773,11,9,,T5293,"L10250,L3475"
La,2,479.669,0.010,28,8.3e-03,C+,0.926574,3.510644,9,7,,T7455,L3475
V,1,479.69076,0.00015,540000,4.46e-01,B+,2.09746672,4.68141347,12,10,,T9399,L15916
Nd,2,479.7157,0.0010,120,4.9e-02,B+,0.5594781,3.1432927,14,12,,T7685,"L3260,L3475"
Bi,3,479.750,0.020,560w,6.e-01,D+,11.921662,14.505333,4,2,,T10236,"L3331,L21488"
W,1,479.7546,0.0010,10,7.2e-03,B,2.458319,5.041923,7,7,,T6977,L153
Cr,1,479.76957,0.00017,7,1.3e-02,D,3.55614020,6.13966216,5,7,,T3963,L14866
Fe,1,479.82646,0.00007,479,2.77e-02,C+,4.18636440,6.76958063,5,7,,T5720,L11631
Ti,2,479.85316,0.00014,18,1.01e-03,C+',1.07997273,3.66304545,4,6,,T7385,u37
Fe,1,479.87310,0.00018,174,4.1e-05,E,1.60789577,4.19086081,5,5,,T2578n,L11631
Y,1,479.93008,0.00010,180,1.57e-01,B+,1.37357308,3.9562321,6,8,,T9421,"L7610,L3475"
Fe,1,479.94058,0.00007,380,3.7e-03,E,3.63977237,6.22237439,5,5,,T2578n,L11631
K,1,479.9754,0.0010,6,2.07e-03,C,1.6171130092,4.19952815,4,2,,"T817,T204,LS",L6096
V,1,479.97766,0.00018,140000,1.30e-03,B+,0.00000000,2.58240252,4,6,,T4902,L15916
Cd,1,479.99123,0.00010,300,4.1e-01,C,3.80087037,6.38319999,3,3,,T4515,L3486
Fe,1,480.0128,0.0005,100bl,1.2e-03,E,3.03847046,5.62068415,5,5,,T2578n,L11631
La,1,480.025,0.010,23,1.63e-01,B,0.9521911,3.534344,6,6,,T9460,L3475
Ti,3,480.0273,0.0010,4,8.4e-01,D,20.067368,22.649499,3,5,,T1216,L3593
Si,3,480.043,0.010,8,2.76e-01,B,25.773102,28.355155,1,3,,T6298c4,L4833
Hf,1,480.0500,0.0011,17000,1.03e-01,B+,0.69909917,3.28111348,5,3,,T5346,"L21976,L16323"
Fe,1,480.06487,0.00007,980,3.01e-02,B,4.14264893,6.72458242,7,9,,T5720,L11631
Cr,1,480.1028,0.0004,75,3.06e-01,B,3.12159404,5.70332536,9,7,,u10,L9190
V,4,480.154,0.010,2,2.1e-01,D,29.30024,31.88169,5,5,,T2757,L147
C,2,480.245,0.003,43*,5.9e-02,D+,20.950632,23.531602,6,8,,T7476,"L21568,L1176"
C,2,480.245,0.003,43*,6.11e-02,B,20.950654,23.531603,8,10,,T7476,"L21568,L1176"
C,2,480.245,0.003,43*,2.2e-03,D+,20.950654,23.531602,8,8,,T7476,"L21568,L1176"
Fe,1,480.28794,0.00018,1580*,1.77e-02,C+,3.64164057,6.22237439,7,5,,T5720,L11631
V,1,480.304,0.002,61000,2.4e-03,C+,1.94955593,4.5302052,8,10,,T9399,L14162
N,2,480.329,0.010,450,3.17e-01,B,20.665518,23.246033,7,7,,T7333,L3513
La,2,480.404,0.010,160,3.14e-02,B+,0.234969,2.815080,3,3,,T7455,L3475
S,2,480.4120,0.0010,12,6.85e-03,D+,13.617382,16.197433,4,4,,T3186c85,L5883
Y,1,480.4313,0.0010,50,2.26e-01,B+,1.90027370,4.48023931,6,4,,T9421,"L7610,L3475"
K,1,480.4348,0.0010,8,1.6e-03,C,1.6171130092,4.19706295,4,6,,"T817n,T204n,LS",L6096
Y,1,480.4803,0.0010,70,3.47e-01,B+,1.90053704,4.48023931,4,4,,T9421,"L7610,L3475"
Ti,2,480.50927,0.00005,216,1.1e-01,D,2.06126756,4.64081303,4,2,,T2403,u37
Ti,1,480.5415,0.0003,510,5.8e-01,D,2.3447140,4.9240869,5,7,,T4401n,L10989
Co,2,480.5786,0.0003,36,1.1e-02,D,11.25197094,13.8311442,7,9,,T6999,L9429c118
Ar,2,480.60202,0.00001,1820,7.80e-01,A,16.64385439,19.222902151,6,6,,T926,L11520
Cr,1,480.62500,0.00012,13,5.6e-03,D,2.70878630,5.28771005,5,7,,T3963,L14866
Mn,2,480.686,0.002,100,4.7e-03,C,5.4176404,7.996254,7,9,,T7259,L562
Ni,1,480.700,0.010,22,7.3e-02,D,3.6784770,6.2570028,7,9,,T4287,L3475
Xe,1,480.70190,0.00005,500,4.29e-02,B,8.4365241,11.0150359,3,1,,"T8608n,T6672",L7292c110
Tm,1,480.7477,0.0005,270*,1.83e-02,B+,2.0403972,4.618663,18,18,,T6708,"L2006,L3475"
V,1,480.75237,0.00015,530000,4.9e-01,B+,2.12465993,4.70290166,14,12,,T9399,L15916
Fe,1,480.77084,0.00007,720,2.3e-03,D,3.36825640,5.94639870,9,9,,T2578n,L11631
Co,2,480.7738,0.0003,69,9.e-03,D,11.18327092,13.7614016,9,9,,T6999,L9429c118
Ac,2,480.7831,0.0009,1700,5.6e-02,C+,1.1267085,3.7047787,5,7,,T10463,L7344
Dy,1,480.794,0.010,50,9.6e-03,B+,0.9380161,3.516031,17,15,,T7148,L3475
Fe,1,480.81480,0.00019,229,7.6e-04,D,3.25148176,5.82938837,7,7,,T2578n,L11631
Tm,1,480.8679,0.0005,350,3.8e-02,B+,1.9326423,4.5102641,12,10,,T6708,"L2006,L3475"
Co,2,480.8682,0.0004,47,3.4e-02,D,11.25197094,13.8295944,7,9,,T6999,L9429c118
Ac,1,480.8811,0.0006,530,3.00e-01,B,1.4974895,4.075038,10,10,,T10463,L7344
La,2,480.901,0.010,160,1.15e-01,B+,0.234969,2.812420,3,1,,T7455,L3475
Fe,1,480.99381,0.00019,148,5.5e-04,E,3.57321890,6.15016512,11,11,,T2578n,L11631
Cl,2,481.006,0.010,29000,9.9e-01,C,13.375373,15.952250,5,5,,T8043,L1617
Cr,1,481.07307,0.00013,13,1.6e-02,D,3.07899825,5.65551992,7,9,,T2268,L14866
Fe,3,481.0790,0.0020,25,3.5e-02,D+,22.931096,25.507583,7,7,,u44,L1171
Mo,1,481.1050,0.0010,90,4.4e-01,B,3.7810241,6.3573754,13,11,,T5293,"L10250,L3475"
Ac,2,481.1061,0.0012,280,5.7e-02,C+,2.5848471,5.161187,9,9,,T10463,L7344
Co,2,481.1537,0.0005,43,1.9e-02,D,11.18327092,13.7593599,9,7,,T6999,L9429c118
Au,1,481.160,0.010,100,1.57e-01,B+,5.1050014,7.68102,4,4,,"T7183,T7776",L1336
Kr,2,481.177,0.010,300,1.7e-01,D,14.5809157,17.1568850,2,4,,T3408,L8549
Sr,1,481.1881,0.0002,2300,9.0e-01,B+,1.8471842,4.4230913,5,5,,T5178,L7362
Ac,2,481.2221,0.0009,16000,2.42e-01,C+,0.9207673,3.496493,7,5,,T10463,L7344
Cr,2,481.23439,0.00003,26,4.6e-03,D,3.86441085,6.44006956,8,10,,T4502,L18847
W,1,481.258,0.010,5,8.0e-04,C,1.655011,4.230549,7,9,,T4976,L153
Ta,1,481.2749,0.0010,220,1.20e-02,B,0.000000,2.575439,4,4,,T4976,"L7593,L3475"
Dy,1,481.280,0.010,50,8.5e-03,B,1.0562474,3.631661,15,17,,T7148,L3475
Ti,1,481.2892,0.0003,7,1.1e-04,D,0.8484192,3.4237838,11,9,,T3297,L10989
C,1,481.2916,0.0014,5300,4.0e-04,C,7.48039414,10.055746371,1,3,,T6070n,L17684
Cu,2,481.29476,0.00005,36000,1.3e+00,D+,14.53484133,17.1101772,3,5,,T9697,L19804c168
Fe,1,481.31125,0.00019,129,1.4e-03,E,3.27398440,5.84923154,3,3,,T2578n,L11631
Si,3,481.333,0.010,15,2.10e+00,B+,25.978583,28.553712,5,7,,"T6298c4,LS",L4833
Tm,1,481.3496,0.0005,350,2.68e-02,B,2.4485073,5.0235497,10,10,,T6708,"L2006,L3475"
Hf,1,481.3500,0.0007,240,2.4e-04,E,1.11384493,3.68888785,5,5,,T5346,L16323
Cr,1,481.42657,0.00008,21,1.61e-02,C,3.08689206,5.66152243,9,11,,T2268,L14866
Ge,2,481.46084,0.00010,1000,5.1e-01,D,9.8401911,12.4146385,4,6,,T4515,L3335
Lu,1,481.505,0.010,85,9.0e-03,B+,0.000000,2.574218,4,2,,T7218,L3475
S,2,481.5549,0.0010,22,8.40e-01,C+,13.671564,16.245507,6,4,,T3186c85,L5883
W,1,481.6105,0.0010,6,7.5e-03,B,2.387137,4.960794,5,5,,T6977,L153
Cr,1,481.61390,0.00015,9,1.8e-01,D,4.5350512,7.1086803,9,9,,T4288,L14866
Br,2,481.670,0.010,500,1.1e+00,,,,5,3,,T8043,L7484
La,1,481.717,0.010,28h,1.75e-01,B,1.1386457,3.711683&dagger;,6,4,,T9460,L3475
C,1,481.7371,0.0014,15000,8.8e-04,C,7.48277598,10.055746371,3,3,,T6070n,L17684
Fe,1,481.77778,0.00019,170,2.1e-04,D,2.22271209,4.79546566,3,5,,T2578n,L11631
V,1,481.90339,0.00018,51000,7.3e-02,C+,2.63784466,5.2099280,10,8,,T9399,L15916
Mo,1,481.9248,0.0010,410,2.71e-01,B+,2.6462200,5.2181890,11,9,,T5293,"L10250,L3475"
Cr,1,481.930,0.003,4,1.3e-01,D,4.0989996,6.6709340,7,7,,T3963,L808
Cl,2,481.947,0.010,16000,1.00e+00,C,13.375373,15.947218,5,3,,T8043,L1617
S,2,481.9575,0.0010,15w*,2.3e-01,E,16.091640,18.663504,2,4,,"T1619CA,LS",L5883
S,2,481.9575,0.0010,15w*,8.6e-01,E,16.197433,18.769200,4,2,,"T1619CA,LS",L5883
Y,1,481.96386,0.00010,140,1.58e-01,B,1.35606353,3.9278247,4,6,,T4373,"L7610,L3475"
Si,3,481.972,0.010,16,2.12e+00,B+,25.982046,28.553767,7,9,,"T6298c4,LS",L4833
Co,2,481.9886,0.0003,53,6.e-02,D,11.18327092,13.75490306,9,11,,T6999,L9429c118
Nd,2,482.034,0.010,140,4.36e-02,B+,0.2045993,2.7759864,10,8,,T7685,L3475
Ti,1,482.0410,0.0003,980,1.49e-01,C+,1.5024892,4.0738384,9,7,,T4922,L10989
Fe,2,482.08278,0.00004,330,5.4e-02,C+,10.3076133,12.8787396,8,10,,T6892c83,L18349c139
Y,1,482.16279,0.00010,22,1.03e-01,B+,1.90027370,4.4709746,6,6,,T4373,L7610
Ti,3,482.180,0.010,3,4.9e-01,D,20.067368,22.637980,3,5,,T1216,L3593
Y,1,482.2121,0.0010,120,5.06e-01,B+,1.90053704,4.4709746,4,6,,T4373,"L7610,L3475"
Ce,1,482.255,0.010,110,1.33e-01,B+,0.0000000,2.5702092,9,11,,T8748,L3475
Co,2,482.28865,0.00017,170,8.e-02,D,11.18327092,13.7532999,9,9,,T6999,L9429c118
Co,2,482.32344,0.00008,300,1.13e-01,C+,11.18327092,13.75311298,9,11,,T6999,L9429c118
Y,2,482.3304,0.0010,190,4.4e-02,B,0.9922612,3.5620673,5,5,,T4373,"L10987,L3475"
V,1,482.343,0.002,65000,4.4e-03,C,1.7123346,4.28207933,2,4,,T9399,L14162
Mn,1,482.352,0.010,1000,4.99e-01,B,2.319170,4.888859,10,8,,T4649,L3475
Cr,1,482.39219,0.00019,5,1.2e-01,D,4.5318872,7.1013640,7,7,,T3963,L14866
La,2,482.406,0.010,200,1.29e-01,B,0.650880,3.220287,1,3,,T7455,L3475
S,2,482.4066,0.0010,16,7.6e-01,D,16.265139,18.834542,6,4,,"T1619CA,LS",L5883
Ge,2,482.40973,0.00010,50,8.6e-02,D,9.8401911,12.4095747,4,4,,T4515,L3335
Cr,2,482.413069,0.000014,290,1.7e-02,D,3.87070388,6.44006956,10,10,,T3963n,L18847
Fe,3,482.486,0.003,25bl(Fe II),8.9e-02,D+,22.931096,25.500088,7,9,,u44,L1171
Kr,2,482.519,0.010,300,1.9e-01,D,15.0023545,17.5711590,2,4,,T3408,L8549
Ta,1,482.5429,0.0010,85,2.63e-02,B+,1.394032,3.962711,6,6,,T4976,"L7593,L3475"
Nd,2,482.5482,0.0010,350,1.08e-01,B+,0.1822698,2.7509180,12,10,,T7685,"L3260,L3475"
Cr,1,482.5517,0.0002,4,3.6e-03,D,3.08689206,5.65551992,9,9,,T2268,L14866
Ra,1,482.592806,0.000012,100,1.770e+00,AA,0.00000000,2.56840882,1,3,,T3403,"L3527,L18892"
Fe,2,482.61366,0.00013,80,2.6e-02,D+,10.3289055,12.8972034,6,8,,T6892c83,L18349c139
Fe,2,482.66825,0.00003,500,7.5e-02,C+,10.2880497,12.8560572,10,12,,T6892c83,L18349c139
C,1,482.6804,0.0014,10000,6.3e-04,C,7.48779869,10.055746371,5,3,,T6070n,L17684
Ca,3,482.7263,0.0018,36,4.1e-02,B,40.441949,43.009655,7,5,,u33,L1405
V,1,482.74524,0.00015,920000,1.22e-02,B+,0.04010046,2.60769803,8,8,,T4902,L15916
Hg,2,482.7732,0.0003,30w,4.8e-05,,10.5183412,13.0857934,6,6,,T7226,L11760
Be,2,482.8159,0.0040,710*,7.87e-02,A,12.157283,14.724527,6,4,,T5118LS,L12158
Be,2,482.8159,0.0040,710*,8.76e-02,A,12.157217,14.724427,4,2,,T5118LS,L12158
Tm,1,482.8966,0.0005,270,1.72e-02,B+,2.0403972,4.607192,18,16,,T6708,"L2006,L3475"
Si,3,482.897,0.010,18,2.25e+00,B+,25.987051,28.553852,9,11,,"T6298c4,LS",L4833
Ni,1,482.903,0.010,22w,1.9e-01,D,3.5421297,6.1088924,5,7,,T4287,L3475
Fe,2,482.91081,0.00014,60,1.8e-02,D+,10.2880497,12.8547671,10,10,,T6892c83,L18349c139
K,2,482.923,0.003,9,2.52e+00,,20.147767,22.714413,5,3,,T8304,L3490
Xe,1,482.9708,0.0002,400,6.e-03,D+,8.4365241,11.0029230,3,3,,T8608,L7292
Mo,1,483.0512,0.0010,410,4.07e-01,A,2.6227474,5.1887186,9,7,,T5293,"L10250,L3475"
Co,2,483.1150,0.0004,130,2.8e-03,D,5.0455404,7.61117297,9,9,,T6999,L9429c118
Ni,1,483.118,0.010,19,1.6e-01,D,3.6060130,6.1716320,9,7,,T4287,L3475
Fe,2,483.12016,0.00005,700bl(Fe II)*,8.e-04,D,7.5682105,10.1338154,6,8,,T6892c83,L18349c148
Pt,1,483.12159,0.00023,100,4.7e-04,C,2.7235734,5.2891719,9,7,,T3313,L6581
Ti,3,483.133,0.010,3,2.0e-01,D,18.252057,20.817590,5,3,,T1216,L3593
V,1,483.16460,0.00015,1100000,1.96e-02,B+,0.01703332,2.58240252,6,6,,T9627,L15916
Cr,1,483.1648,0.0004,15,1.2e-02,D,3.42162179,5.98699306,7,9,,T3963,L9190
Sr,1,483.2043,0.0005,2900,3.3e-01,A',1.77514463,4.3403034,1,3,,T5178,L4447
Kr,2,483.20773,0.00010,800,7.3e-01,D,14.2695909,16.8347312,4,2,,T3408,L605
Ta,1,483.2185,0.0010,55,1.70e-02,B+,1.236843,3.801933,4,4,,T4976,"L7593,L3475"
Cu,2,483.22454,0.00017,14000,2.5e-03,C,8.42057990,10.9856318,3,3,,"T1922,T5092",L869c171
V,1,483.24241,0.00015,860000,2.27e-02,B+,0.00000000,2.56495646,4,4,,T4902,L15916
Fe,1,483.27273,0.00007,740,1.76e-02,C+,3.63977237,6.20456765,5,3,,T5720,L11631
V,1,483.3016,0.0003,87000,3.2e-02,C+,1.7111742,4.2758166,4,6,,T9399,L15916
Co,2,483.34638,0.00021,57,2.4e-02,D,11.19611730,13.76052054,13,15,,T6999,L9429c118
Fe,1,483.45065,0.00019,158,2.7e-04,E,2.42419831,4.98804995,3,5,,T2578n,L11631
Tm,1,483.5754,0.0005,350,1.58e-02,B+,1.6266243,4.1898171,10,12,,T6708,"L2006,L3475"
S,2,483.5848,0.0010,14,7.2e-02,E,16.100362,18.663504,4,4,,"T1619CA,LS",L5883
Fe,1,483.58676,0.00007,550,1.1e-02,D,4.10337372,6.66650376,9,9,,T2578n,L11631
Cr,2,483.62295,0.00002,32,2.0e-03,D,3.85805665,6.42099470,6,8,,T3963n,L18847
Cr,1,483.68515,0.00007,29,1.60e-02,B,3.10437812,5.66698616,11,13,,u10,L14866
Hf,1,483.7238,0.0007,5000,8.29e-03,B,0.69909917,3.26150453,5,7,,T5346,"L21976,L16323"
Ti,3,483.825,0.010,1,1.2e-01,D,18.506872,21.068734,5,5,,T1216,L3593
Cr,1,483.8418,0.0020,15,1.1e-01,D,4.5326696,7.0944465,5,5,,T3963,L808
Fe,1,483.85115,0.00007,710,1.2e-02,D,3.41695281,5.97868220,5,3,,T2578n,L11631
Fe,2,483.85511,0.00020,70,7.0e-03,D+,10.3289055,12.8906141,6,8,,T6892c83,L18349c139
Y,1,483.91470,0.00010,60,3.05e-01,B+,1.91884554,4.48023931,6,4,,T9421,"L7610,L3475"
La,1,483.952,0.010,70,4.38e-01,B+,0.8693659,3.430565,6,6,,T9460,L3475
Fe,1,483.95442,0.00007,3090,3.90e-03,C+,3.26711257,5.82829520,11,11,,T5720,L11631
Y,1,483.9866,0.0010,770,8.6e-01,B,1.42979768,3.9908127,10,10,,T4373,"L7610,L3475"
La,2,484.001,0.010,45,9.2e-03,C+,0.321317,2.882252,5,5,,T7455,L3475
Fe,1,484.03214,0.00007,457,1.7e-02,D,4.15435379,6.71512541,7,7,,T2578n,L11631
Ti,1,484.0873,0.0003,6600,1.76e-01,C+,0.8995494,3.4600286,5,5,,T4294,L10989
V,4,484.126,0.010,20,1.3e+00,D,29.46346,32.02373,5,3,,T2757,L147
Sm,1,484.170,0.010,970,8.7e-01,,0.498498,3.058540,13,11,,T7227,L3475
Rh,1,484.243,0.010,21,1.6e-03,D,1.143286,3.702954,6,8,,T5181,L3475
V,2,484.2492,0.0007,500,1.0e-02,D+,5.4750754,8.0346939,5,5,,T9770,L10089c179
Ne,3,484.250,0.010,120w,8.1e-02,D,55.737363+x,58.29700+x,11,9,,T8046,L10704
Fe,1,484.27881,0.00019,380,7.5e-03,E,4.10337372,6.66284114,9,11,,T2578n,L11631
V,1,484.3000,0.0010,5600,1.8e-01,D+,2.63784466,5.1972012,10,12,,u40,L4235
