element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(10^8 s^-1),Acc,Ei(eV),Ek(eV),g_i,g_k,Type,tp_ref,line_ref
S,3,250.8097,0.0010,12,2.56e+00,D,21.085835,26.027684,5,3,,"T6066c4,LS",L11011
Cr,1,250.81100,0.00002,25,2.1e-01,D,0.98287742,5.92472080,5,5,,T3196,L14866
Fe,2,250.834100,0.000012,50000,3.8e-01,D+,6.22249688,11.1638849,8,10,,T6892c83,L18349c139
Pt,1,250.84973,0.00006,2500,1.50e-01,B+,0.81426023,5.7553405,5,5,,T3313,L11529
W,1,250.8734,0.0010,45,2.4e-01,C,0.771099,5.711707,9,7,,T6977,L153
Fe,1,250.87531,0.00002,630,1.71e-02,C+,0.99011115,5.93068755,5,7,,T5720,L11631
Li,2,250.878,0.010,*,1.6484e-01,AAA,69.589060,74.529574,5,7,,T8636c73,L3501
Li,2,250.878,0.010,*,2.893e-02,AA,69.589060,74.52943,5,7,,T8636c73,L3501
Fe,2,250.88140,0.00014,700,1.4e-02,D,8.1040544,13.0445113,12,10,,T6892c83,L18349c139
Ar,3,250.891,0.004,3,2.6e-01,E,23.1426661,28.08293673,7,7,,"T1619CA,LS",L7491
Cr,1,250.89803,0.00002,23,3.8e-01,C,0.98287742,5.92300663,5,3,,T3196,L14866
C,2,250.9121,0.0007,670,4.71e-01,A,13.715650,18.655493,2,4,,T7194,L1176
Fe,2,250.912104,0.000016,21000bl(Fe II)*,3.9e-03,D,8.1279417,13.0677952,10,12,,T6892c83,L18349c148
Fe,2,250.912104,0.000016,21000bl(Fe II)*,1.9e-01,D+,3.24468891,8.1845410,12,10,,T6892c83,L18349c148
Fe,2,250.91470,0.00004,8000,4.4e-01,D+,5.60488800,10.5446893,2,4,,T6892c83,L18349c139
O,4,250.919,0.010,230,1.94e+00,B,54.45769,59.39736,6,6,,T5109LS,L648
Fe,2,250.9370,0.0005,270d?,3.1e-02,D,5.40831276,10.3476866,4,4,,T6892c83,L18349c142
Fe,2,250.94838,0.00016,2000,4.0e-01,D+,6.8070159,11.7461558,4,4,,T6892c83,L18349c139
V,4,250.9606,0.0010,5,1.4e+00,,26.89279,31.83169,3,1,,T2757,L147
Fe,2,250.9646,0.0010,400,1.2e-01,D+,7.9458259,12.8846409,6,8,,T6892c83,L18349c139
Nb,4,250.9673,0.0005,65000,3.0e-01,C,22.507593,27.446345,7,5,,T2192,L12094
Fe,2,250.9702,0.0005,160d,1.4e-01,D+,7.9400585,12.8787670,8,10,,T6892c83,L18349c142
Fe,2,250.98633,0.00002,16000,9.e-01,D+,4.83702231,9.7754140,4,2,,T6892c83,L18349c139
Fe,2,250.9919,0.0005,340bl(Fe II)*,1.1e-01,D+,6.8030800,11.7413550,6,6,,T6892c83,L18349c142
Co,2,251.00723,0.00003,5400,1.3e-01,D,3.48542792,8.42340833,5,5,,T6999,L9429c118
Fe,2,251.01215,0.00004,7000,2.6e-01,D+,5.58476799,10.5226519,4,6,,T6892c83,L18349c139
Na,3,251.0264,0.0005,17,2.19e+00,A,45.507242,50.444845,4,2,,"c51,T7317",L1882
Fe,2,251.02968,0.00009,1000bl(Fe I),6.1e-02,D+,8.0349812,12.9725199,2,4,,T6892c83,L18349c148
Fe,2,251.03848,0.00005,2000,4.6e-01,C+,7.9286411,12.8660067,10,10,,T6892c83,L18349c139
Co,2,251.05485,0.00003,5600,2.7e+00,C+,9.06907725,14.0061207,9,7,,T6999,L9429c118
Fe,2,251.05646,0.00005,5000,1.54e-01,C,5.51071390,10.4477261,8,8,,T7186,L18349c139
Fe,1,251.08348,0.00002,6000,1.29e+00,B,0.05156912,4.98804995,7,5,,T5720,L11631
Co,2,251.08481,0.00003,1200,1.0e+00,D,6.47566059,11.41211476,5,5,,T6999,L9429c118
Ni,2,251.087,0.010,500,5.8e-01,B,1.680034,6.616438,8,10,,T1024n,L897
Ti,2,251.08901,0.00019,9,3.61e-03,D+,0.12199000,5.05836105,6,8,,T7385,L17999
Co,2,251.11597,0.00003,230000,2.1e+00,C+,3.11785953,8.05370134,9,11,,T6999,L9429c118
Fe,2,251.138061,0.000018,6000,4.2e-01,C+,7.9196550,12.8550633,12,10,,T6892c83,L18349c139
Cs,3,251.15566,0.00011,15000,1.73e+00,,16.5228572,21.4579201,2,2,,T8611,L14869
Fe,2,251.16252,0.00015,700,1.2e-01,D+,7.9286411,12.8635679,10,12,,T6892c83,L18349c139
C,2,251.1734,0.0007,250,9.26e-02,A,13.720784,18.655493,4,4,,T7194,L1176
Fe,2,251.175999,0.000012,200000,2.30e+00,B,2.69193206,7.6265941,8,10,,T7158,L18349c139
Fe,2,251.19261,0.00005,6000,1.63e+00,C+,6.8070159,11.7413550,4,6,,T6892c83,L18349c139
V,1,251.19458,0.00009,690000,3.1e-01,C+,0.01703332,4.9513308,6,4,,T9399,L15916
Fe,2,251.20370,0.00009,800,2.8e-02,D,8.0384001,12.9725199,4,4,,T6892c83,L18349c139
Co,2,251.20634,0.00003,14000,3.6e-01,D,3.20639528,8.14046139,1,3,,T6999,L9429c118
C,2,251.2065,0.0007,1000,5.62e-01,A,13.720784,18.654858,4,6,,T7194,L1176
Ir,2,251.2101,0.0020,1500h,1.6e-01,E,1.576417,6.510418,7,5,,T7959,"L4457,L7593"
Cs,3,251.2204,0.0016,10000bl,3.13e-02,,17.9200720,22.8538544,8,8,,T8611,L14869
V,4,251.2242,0.0010,,1.2e+00,,26.94797,31.88169,7,5,,T2757,L147
In,2,251.2274,0.0009,96,1.7e-02,D+,13.3707029,18.304359,3,3,,T9131,L3548c121
Fe,1,251.22753,0.00002,540,2.19e-02,C+,0.85899575,5.79264615,11,9,,T5720,L11631
Fe,2,251.23423,0.00015,600,3.5e-02,D+,8.1040544,13.0375699,12,10,,T6892c83,L18349c139
Fe,1,251.23647,0.00002,3090,2.00e-02,B+,0.05156912,4.98504395,7,7,,T5720,L11631
Fe,2,251.237315,0.000016,18000,3.3e-01,D+,5.58919550,10.5226519,6,6,,T6892c83,L18349c145
Co,2,251.2390,,4200bl(Co I):,1.0e-01,D,2.98484767,7.91827191,5,3,,T6999,L9429c119
Co,2,251.25059,0.00006,260,4.7e-02,D,5.62624844,10.55944220,9,7,,T6999,L9429c118
Fe,2,251.252212,0.000016,21000,1.26e+00,C+,4.47910423,9.4122703,4,6,,T6892c83,L18349c139
Ir,2,251.2580,0.0010,1500h,2.29e-01,B,0.593626,5.526682,9,9,,T7750,"L8724,L4457,L7593,L3475"
Fe,2,251.28014,0.00007,900,8.e-02,D+,7.9877322,12.9203460,6,6,,T6892c83,L18349c148
V,2,251.2812,0.0008,960h,4.7e-02,D+,4.7755099,9.708094,9,7,,T9770,L8201c179
Fe,2,251.31507,0.00002,12000,2.5e-01,C+,4.76830747,9.7002396,10,8,,T7466,L18349c139
Fe,2,251.34019,0.00011,2400,1.2e-02,D,3.19945278,8.1308918,10,12,,T6892c83,L18349c139
Co,2,251.34236,0.00011,120,4.2e-02,D,8.42340833,13.3548015,5,5,,T6999,L9429c118
Fe,2,251.34720,0.00018,400,2.1e-02,D,7.9400585,12.8713640,8,8,,T6892c83,L18349c139
Hg,2,251.3493,0.0003,12,2.7e-03,,13.1529893,18.0842477,4,6,,T7226,L11760
Cr,1,251.36209,0.00003,12,1.1e-01,C,1.00367492,5.93468472,7,9,,T3196,L14866
Tm,1,251.3778,0.0005,900D,5.3e-02,B+,0.0000000,4.930702,8,10,,T6708,"L2006,L3475"
Pt,2,251.38882,0.00006,6300,1.78e-01,C+,2.0855300,7.0160150,6,4,,T8261,L10146
Fe,2,251.4022,0.0003,1200,9.e-03,D,5.58919550,10.5194227,6,6,,T6892c83,L18349c139
In,2,251.4082,0.0013,28,8.e-03,E,13.6110127,18.541118,3,1,,T9131,L3548c121
Fe,2,251.40822,0.00011,1000,1.8e-01,D+,7.9877322,12.9178370,6,4,,T6892c83,L18349c139
Mn,2,251.4200,0.0006,100,1.08e+00,C,6.005305,10.935178,13,13,,c88,L562
Si,1,251.432,0.010,375,7.39e-01,B,0.0000000,4.9296471,1,3,,T5814,L3521
W,2,251.4364,0.0010,7d,9.28e-03,B,0.91999511,5.84956717,6,4,,T7162,L6520
Fe,2,251.438297,0.000012,80000,2.11e+00,B+,3.81430861,8.7438237,8,8,,T6892c83,L18349c139
Fe,2,251.44071,0.00004,7000,2.2e-01,D+,5.61522263,10.5446893,4,4,,T6892c83,L18349c139
Co,2,251.45392,0.00005,330,4.2e-02,D,8.53549724,13.46470540,9,11,,T6999,L9429c118
V,2,251.46372,0.00007,18000,1.13e-01,C,1.12799449,6.05701211,9,11,,T9770,L18516
Cs,3,251.4642,0.0004,3500h,1.07e-01,,18.4210589,23.3500671,4,2,,T8611,L14869
Hg,2,251.4762,0.0002,5000,3.6e-01,,13.1689890,18.0977621,8,8,,T7226,L11760
Fe,2,251.49065,0.00004,7000,8.e-02,D+,3.19945278,8.1279417,10,10,,T6892c83,L18349c139
Fe,2,251.49332,0.00003,8000,1.3e-01,D+,2.84411707,7.7725538,6,6,,T6892c83,L18349c139
Mn,2,251.4950,0.0006,30,9.0e-03,C,3.818225,8.7466314,9,9,,T7259,L562
Fe,2,251.51190,0.00002,15000,2.13e+00,B+,6.2169162,11.1449887,6,8,,T6892c83,L18349c139
Na,2,251.5455,0.0003,600,2.25e-01,C+,36.354688,41.282097,3,5,,T6036,L914
Fe,2,251.55182,0.00017,500,9.e-02,D+,7.9196550,12.8469422,12,14,,T6892c83,L18349c139
Pt,1,251.55770,0.00006,13000,1.11e-01,B+,0.09619638,5.0233722,5,5,,T3313n,L11529
Bi,1,251.56326,0.00020,500,2.13e-02,C,1.4157804,6.3428449,4,6,,T6498,L9843
Cs,3,251.5745,0.0004,1500p,3.97e-03,,17.9270935,22.8539482,6,6,,T8611,L14869
Fe,2,251.57530,0.00007,1300,1.4e-01,D+,7.9704921,12.8973225,8,6,,T6892c83,L18349c139
